Id,Label,DisplayName,Gender,ProfileURL,ClusteringCoefficient,Triangles
dustysbookstore.bsky.social,dustysbookstore,,male,https://bsky.app/profile/dustysbookstore.bsky.social,0,0
kattimpf0001.bsky.social,kattimpf0001,,male,https://bsky.app/profile/kattimpf0001.bsky.social,0,0
lcgal.bsky.social,lcgal,Rachael Elizabeth,female,https://bsky.app/profile/lcgal.bsky.social,0,0
janetis.bsky.social,janetis,Janet,female,https://bsky.app/profile/janetis.bsky.social,0,0
thomosmarke.bsky.social,thomosmarke,,male,https://bsky.app/profile/thomosmarke.bsky.social,0,0
theworkshop.bsky.social,theworkshop,Transparency Workshop,unknown,https://bsky.app/profile/theworkshop.bsky.social,0,0
skpainter.bsky.social,skpainter,Shawn Painter,male,https://bsky.app/profile/skpainter.bsky.social,0,0
akinakinozu01.bsky.social,akinakinozu01,Akin Akinozu,male,https://bsky.app/profile/akinakinozu01.bsky.social,0,0
lladybd.bsky.social,lladybd,B. Davidson,male,https://bsky.app/profile/lladybd.bsky.social,0,0
orangeresistor.bsky.social,orangeresistor,Ramblinâ€™ American,unknown,https://bsky.app/profile/orangeresistor.bsky.social,0,0
bubbac1969.bsky.social,bubbac1969,Charles Carpenter,male,https://bsky.app/profile/bubbac1969.bsky.social,0,0
xsucksdonkeydicks.bsky.social,xsucksdonkeydicks,NotTodaySatan,,https://bsky.app/profile/xsucksdonkeydicks.bsky.social,0,0
freeopinion.bsky.social,freeopinion,,male,https://bsky.app/profile/freeopinion.bsky.social,0,0
crowlander.bsky.social,crowlander,J R M,unknown,https://bsky.app/profile/crowlander.bsky.social,0,0
chickachocka.bsky.social,chickachocka,Chicka Chocka,female,https://bsky.app/profile/chickachocka.bsky.social,0,0
deedavis.bsky.social,deedavis,Dee,female,https://bsky.app/profile/deedavis.bsky.social,0,0
johnmirandilla.bsky.social,johnmirandilla,John Mirandilla,male,https://bsky.app/profile/johnmirandilla.bsky.social,0,0
pamlowen.bsky.social,pamlowen,Pamela L. Owen,female,https://bsky.app/profile/pamlowen.bsky.social,0,0
urbanperspectiv.bsky.social,urbanperspectiv,UrbanPerspectiv,,https://bsky.app/profile/urbanperspectiv.bsky.social,0,0
ulrichjvv.bsky.social,ulrichjvv,Ulrich Janse van Vuuren,male,https://bsky.app/profile/ulrichjvv.bsky.social,0.333333333,2
ms-motorcyclemama.bsky.social,ms-motorcyclemama,ðŸ¦‹ð’œð“ƒð‘”ð’¾ð‘’ðŸ¦‹ ~ð™ˆ.ð™Ž.ð™ˆð™¤ð™©ð™¤ð™§ð™˜ð™®ð™˜ð™¡ð™šð™ˆð™–ð™¢ð™–,unknown,https://bsky.app/profile/ms-motorcyclemama.bsky.social,0.001089325,10
jlouiessxz.bsky.social,jlouiessxz,J'LouiessxZ,unknown,https://bsky.app/profile/jlouiessxz.bsky.social,0,0
lvantavares2001.bsky.social,lvantavares2001,,unknown,https://bsky.app/profile/lvantavares2001.bsky.social,0,0
san-21.bsky.social,san-21,Sandra,female,https://bsky.app/profile/san-21.bsky.social,0,0
drleodickson.bsky.social,drleodickson,dr.leo dcikson,male,https://bsky.app/profile/drleodickson.bsky.social,0,0
zwildflowerz.bsky.social,zwildflowerz,zwildflowerz,male,https://bsky.app/profile/zwildflowerz.bsky.social,0,0
susant26.bsky.social,susant26,Susan  Tentomas,female,https://bsky.app/profile/susant26.bsky.social,0,0
karma-chaos.bsky.social,karma-chaos,Karma & Chaos,female,https://bsky.app/profile/karma-chaos.bsky.social,1,1
facefactsnotlies.bsky.social,facefactsnotlies,Face Facts Not Lies,female,https://bsky.app/profile/facefactsnotlies.bsky.social,0,0
laskarshular.bsky.social,laskarshular,Laskar_.,male,https://bsky.app/profile/laskarshular.bsky.social,0,0
nomagaallowed.bsky.social,nomagaallowed,Never Trump,male,https://bsky.app/profile/nomagaallowed.bsky.social,0,0
kennethbruce.bsky.social,kennethbruce,Kenny G,male,https://bsky.app/profile/kennethbruce.bsky.social,0,0
msesq.bsky.social,msesq,,female,https://bsky.app/profile/msesq.bsky.social,0,0
1blueshirtgirl.bsky.social,1blueshirtgirl,,female,https://bsky.app/profile/1blueshirtgirl.bsky.social,0,0
4688guy.bsky.social,4688guy,Bapa Lou,male,https://bsky.app/profile/4688guy.bsky.social,0,0
naomiwarr3n.bsky.social,naomiwarr3n,Naomi,female,https://bsky.app/profile/naomiwarr3n.bsky.social,0,0
portalwalker011235.bsky.social,portalwalker011235,,male,https://bsky.app/profile/portalwalker011235.bsky.social,0,0
diesel24.bsky.social,diesel24,Diesel,male,https://bsky.app/profile/diesel24.bsky.social,0,0
humansofpodcasting.bsky.social,humansofpodcasting,JeffE4NC,female,https://bsky.app/profile/humansofpodcasting.bsky.social,0,0
miranda214.bsky.social,miranda214,,female,https://bsky.app/profile/miranda214.bsky.social,0,0
georgemoen.bsky.social,georgemoen,George Moen,male,https://bsky.app/profile/georgemoen.bsky.social,0,0
chauncey8581.bsky.social,chauncey8581,,male,https://bsky.app/profile/chauncey8581.bsky.social,0,0
williamscarlos.bsky.social,williamscarlos,,male,https://bsky.app/profile/williamscarlos.bsky.social,0,0
rbnjne.bsky.social,rbnjne,Robin,male,https://bsky.app/profile/rbnjne.bsky.social,0,0
dejayk.bsky.social,dejayk,Dennis Koch,male,https://bsky.app/profile/dejayk.bsky.social,0,0
ron00000.bsky.social,ron00000,Ron mikealson,unknown,https://bsky.app/profile/ron00000.bsky.social,0,0
wafflesopossum.bsky.social,wafflesopossum,Waffles the Virginia Opossum,unknown,https://bsky.app/profile/wafflesopossum.bsky.social,0,0
bchbum2000.bsky.social,bchbum2000,,unknown,https://bsky.app/profile/bchbum2000.bsky.social,0,0
jimwillie55.bsky.social,jimwillie55,Jim Willie's,female,https://bsky.app/profile/jimwillie55.bsky.social,0,0
djr7894.bsky.social,djr7894,Douglas Routabega,female,https://bsky.app/profile/djr7894.bsky.social,0,0
streetsamurai14.bsky.social,streetsamurai14,,male,https://bsky.app/profile/streetsamurai14.bsky.social,0,0
barbwired2.bsky.social,barbwired2,barbwired2,male,https://bsky.app/profile/barbwired2.bsky.social,0,0
lindam.bsky.social,lindam,Linda Meiseles,unknown,https://bsky.app/profile/lindam.bsky.social,0,0
midlifemom.bsky.social,midlifemom,Kelli Midlife Mom,female,https://bsky.app/profile/midlifemom.bsky.social,0,0
stand7.bsky.social,stand7,StandResistUp  ðŸ’™ðŸŒŠ #Democrat,unknown,https://bsky.app/profile/stand7.bsky.social,0,0
pmmike.bsky.social,pmmike,pmmikeðŸ’™,male,https://bsky.app/profile/pmmike.bsky.social,0,0
writetalkcreate.bsky.social,writetalkcreate,C,male,https://bsky.app/profile/writetalkcreate.bsky.social,0,0
katrinag.bsky.social,katrinag,Katrina G,male,https://bsky.app/profile/katrinag.bsky.social,0,0
mfcw.bsky.social,mfcw,,female,https://bsky.app/profile/mfcw.bsky.social,0,0
reseturattitude.bsky.social,reseturattitude,Reset Your Attitude,female,https://bsky.app/profile/reseturattitude.bsky.social,0,0
kslatteryresist.bsky.social,kslatteryresist,KSlatteryResist,female,https://bsky.app/profile/kslatteryresist.bsky.social,0,0
dickyfield.bsky.social,dickyfield,Toby Field ðŸ‡¨ðŸ‡¦,female,https://bsky.app/profile/dickyfield.bsky.social,0,0
gorko20.bsky.social,gorko20,Baabu J,female,https://bsky.app/profile/gorko20.bsky.social,0,0
rhondasrealm.bsky.social,rhondasrealm,Rhonda ðŸ¦‹,female,https://bsky.app/profile/rhondasrealm.bsky.social,0,0
trg-commentary.bsky.social,trg-commentary,TRG Commentary,male,https://bsky.app/profile/trg-commentary.bsky.social,0,0
henryvicente.bsky.social,henryvicente,,male,https://bsky.app/profile/henryvicente.bsky.social,0,0
evyleus.bsky.social,evyleus,Evyleus Viljestyrke,male,https://bsky.app/profile/evyleus.bsky.social,0,0
kleinekin.bsky.social,kleinekin,â¤ï¸ðŸ‡¨ðŸ‡¦Kai in KanadaðŸ‡¨ðŸ‡¦â¤ï¸,unknown,https://bsky.app/profile/kleinekin.bsky.social,0,0
warrkation.bsky.social,warrkation,ZoltanðŸŽ„ðŸŽWarrkation,male,https://bsky.app/profile/warrkation.bsky.social,0,0
melrosie.bsky.social,melrosie,Melodee4democracy ðŸ¦‹,male,https://bsky.app/profile/melrosie.bsky.social,0,0
lauralevine.bsky.social,lauralevine,,male,https://bsky.app/profile/lauralevine.bsky.social,0,0
mehardtke.bsky.social,mehardtke,,male,https://bsky.app/profile/mehardtke.bsky.social,0,0
kittykat123.bsky.social,kittykat123,Lisajane,female,https://bsky.app/profile/kittykat123.bsky.social,0,0
danihere.bsky.social,danihere,LibsLikeMe on Twatter,male,https://bsky.app/profile/danihere.bsky.social,0,0
markmywordz.bsky.social,markmywordz,markmywordz,male,https://bsky.app/profile/markmywordz.bsky.social,0,0
lastyearsman.bsky.social,lastyearsman,Last Yearâ€™s Man,male,https://bsky.app/profile/lastyearsman.bsky.social,0,0
21leo54.bsky.social,21leo54,LeoðŸ’™,male,https://bsky.app/profile/21leo54.bsky.social,0,0
snacks59.bsky.social,snacks59,Snacks,male,https://bsky.app/profile/snacks59.bsky.social,0,0
patawan1.bsky.social,patawan1,Patawan-One ðŸŒ€â„ï¸ðŸŒŠðŸ—½ðŸŒðŸ’™ðŸ¦‹,male,https://bsky.app/profile/patawan1.bsky.social,1,1
notfinished.bsky.social,notfinished,not finished,female,https://bsky.app/profile/notfinished.bsky.social,0,0
drmichellefranklin.bsky.social,drmichellefranklin,Michelle Franklin,male,https://bsky.app/profile/drmichellefranklin.bsky.social,0,0
feebar.bsky.social,feebar,Feebar,female,https://bsky.app/profile/feebar.bsky.social,0,0
jackthompsonjr436.bsky.social,jackthompsonjr436,Jack Torque Thompson Jr,male,https://bsky.app/profile/jackthompsonjr436.bsky.social,0,0
oliviahill247.bsky.social,oliviahill247,Olivia Hill,male,https://bsky.app/profile/oliviahill247.bsky.social,0,0
blueflame60.bsky.social,blueflame60,Just Tim,male,https://bsky.app/profile/blueflame60.bsky.social,0,0
dgillard2024.bsky.social,dgillard2024,JingleDarryll,male,https://bsky.app/profile/dgillard2024.bsky.social,0,0
pcoop1960.bsky.social,pcoop1960,Pamela Cooper,male,https://bsky.app/profile/pcoop1960.bsky.social,0,0
lunas3rdgirl.bsky.social,lunas3rdgirl,Luna's Third  Girl,male,https://bsky.app/profile/lunas3rdgirl.bsky.social,0,0
rockpossum.bsky.social,rockpossum,Rock Possum,male,https://bsky.app/profile/rockpossum.bsky.social,0,0
jacksonfivemom.bsky.social,jacksonfivemom,,male,https://bsky.app/profile/jacksonfivemom.bsky.social,0,0
joycecarlson.bsky.social,joycecarlson,,male,https://bsky.app/profile/joycecarlson.bsky.social,0,0
bobmendez.bsky.social,bobmendez,Bob Mendez,male,https://bsky.app/profile/bobmendez.bsky.social,0,0
energyis.bsky.social,energyis,Yvonne,male,https://bsky.app/profile/energyis.bsky.social,0,0
